@relation att_3b01bcb8_0b14_4abf_b6f2_c1bfd384ba69

@attribute state {Bihar,Chhattisgarh,Arunachal_Pradesh,Assam,Andhra_Pradesh,Delhi,Gujarat,Haryana,Karnataka,'Madhya Pradesh',Maharashtra,Kerala,Odisha,Punjab,Manipur,Rajasthan,TamilNadu,Telangana,Uttar_Pradesh,West_Bengal,Uttarakhand,Chandigarh,Mizoram,Nagaland,Puducherry,Tripura,Jharkhand,Jammu_and_Kashmir,Meghalaya,'Himachal Pradesh'}
@attribute city string
@attribute pollutant_min numeric
@attribute pollutant_max numeric
@attribute pollutant_avg numeric

@data
Karnataka,Gadag,0.1590909090909091,0.18153846153846154,0.2
Karnataka,Raichur,0.8939393939393939,0.39384615384615385,0.48
Karnataka,Tumakuru,0.030303030303030304,0.018461538461538463,0.02
Kerala,Eloor,0.06818181818181818,0.036923076923076927,0.044
Maharashtra,Bhiwandi,0.20454545454545456,0.28615384615384615,0.268
Maharashtra,Boisar,0.06060606060606061,0.27076923076923076,0.2
Maharashtra,Chandrapur,0.030303030303030304,0.1723076923076923,0.152
'Madhya Pradesh',Katni,0.16666666666666666,0.23384615384615384,0.248
'Madhya Pradesh',Maihar,0.14393939393939395,0.16923076923076924,0.22
Maharashtra,Kalyan,0.045454545454545456,0.24,0.144
Maharashtra,Kolhapur,0.007575757575757576,0.15692307692307692,0.136
Maharashtra,Mumbai,0.0,0.31384615384615383,0.188
'Madhya Pradesh',Sagar,0.12878787878787878,0.18461538461538463,0.164
Maharashtra,Jalna,0.1893939393939394,0.56,0.412
Maharashtra,Mumbai,0.0,0.28615384615384615,0.296
Maharashtra,Mumbai,0.07575757575757576,0.03076923076923077,0.04
Maharashtra,Belapur,0.09090909090909091,0.3723076923076923,0.336
Mizoram,Aizawl,0.030303030303030304,0.024615384615384615,0.024
Maharashtra,Nashik,0.030303030303030304,0.2523076923076923,0.16
Maharashtra,'Navi Mumbai',0.1590909090909091,0.07384615384615385,0.088
Maharashtra,'Navi Mumbai',0.06818181818181818,0.11384615384615385,0.088
Maharashtra,'Navi Mumbai',0.06818181818181818,0.38153846153846155,0.196
Maharashtra,Parbhani,0.045454545454545456,0.3046153846153846,0.304
Maharashtra,Pimpri-Chinchwad,0.007575757575757576,0.5107692307692308,0.6
Maharashtra,Nagpur,0.03787878787878788,0.12615384615384614,0.108
Maharashtra,Nagpur,0.007575757575757576,0.20615384615384616,0.164
Maharashtra,Pune,0.0,0.3446153846153846,0.292
Maharashtra,Solapur,0.007575757575757576,0.40615384615384614,0.32
Maharashtra,Mumbai,0.015151515151515152,0.30153846153846153,0.22
Maharashtra,Nashik,0.12878787878787878,0.2123076923076923,0.164
Punjab,Rupnagar,0.8333333333333334,0.4246153846153846,0.504
Nagaland,Kohima,0.03787878787878788,0.09846153846153846,0.076
Rajasthan,Bhiwadi,0.030303030303030304,0.09538461538461539,0.084
Odisha,Baripada,0.015151515151515152,0.38769230769230767,0.304
Rajasthan,Jaipur,0.015151515151515152,0.30153846153846153,0.268
Puducherry,Puducherry,0.2727272727272727,0.24,0.276
Rajasthan,Hanumangarh,0.19696969696969696,0.22153846153846155,0.196
Odisha,Suakati,0.07575757575757576,0.5384615384615384,0.504
Odisha,Nayagarh,0.3181818181818182,0.3261538461538461,0.304
Tripura,Agartala,0.015151515151515152,0.2676923076923077,0.208
Uttar_Pradesh,Agra,0.0,0.012307692307692308,0.012
TamilNadu,Cuddalore,0.0,0.003076923076923077,0.0
Rajasthan,Jaipur,0.17424242424242425,0.21846153846153846,0.188
Rajasthan,Jaisalmer,0.06818181818181818,0.3415384615384615,0.356
TamilNadu,Chennai,0.21212121212121213,0.6646153846153846,0.184
TamilNadu,Chennai,0.05303030303030303,0.052307692307692305,0.044
